2022-08-10 23:08:657 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-10 23:08:263 INFO  DemoAccountPage :57 - Enter first name: [[ChromeDriver: chrome on WINDOWS (9b64a175188719d3da3de32c4325c53d)] -> id: name]
2022-08-10 23:08:495 INFO  DemoAccountPage :61 - Enter last name: [[ChromeDriver: chrome on WINDOWS (9b64a175188719d3da3de32c4325c53d)] -> id: name]
2022-08-10 23:08:944 INFO  DemoAccountPage :65 - Enter email id: [[ChromeDriver: chrome on WINDOWS (9b64a175188719d3da3de32c4325c53d)] -> id: email]
2022-08-10 23:08:138 INFO  DemoAccountPage :69 - Enter phone number: [[ChromeDriver: chrome on WINDOWS (9b64a175188719d3da3de32c4325c53d)] -> id: email]
2022-08-10 23:08:377 INFO  DemoAccountPage :75 - Click on check button : [[ChromeDriver: chrome on WINDOWS (9b64a175188719d3da3de32c4325c53d)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[3]/div[1]/div[1]/div[1]/label[1]]
2022-08-10 23:08:572 INFO  DemoAccountPage :80 - Click on check button1 : [[ChromeDriver: chrome on WINDOWS (9b64a175188719d3da3de32c4325c53d)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[4]/div[1]/div[1]/div[1]/label[1]]
2022-08-10 23:08:721 INFO  DemoAccountPage :85 - Click on create account button : [[ChromeDriver: chrome on WINDOWS (9b64a175188719d3da3de32c4325c53d)] -> id: avaWidgetSubmit]
2022-08-10 23:08:60 INFO  TradePage :49 - Click on skip tutorial popup : [[ChromeDriver: chrome on WINDOWS (9b64a175188719d3da3de32c4325c53d)] -> xpath: //span[contains(text(),'Skip Tutorial')]]
2022-08-10 23:08:271 INFO  TradePage :55 - Click on close button: [[ChromeDriver: chrome on WINDOWS (9b64a175188719d3da3de32c4325c53d)] -> xpath: //button[normalize-space()='Close']]
2022-08-10 23:08:942 INFO  TradePage :74 - Verify Three product added to the cart : [[[ChromeDriver: chrome on WINDOWS (9b64a175188719d3da3de32c4325c53d)] -> xpath: //span[@data-qa='watchlist-entity__symbol-cell']], [[ChromeDriver: chrome on WINDOWS (9b64a175188719d3da3de32c4325c53d)] -> xpath: //span[@data-qa='watchlist-entity__symbol-cell']], [[ChromeDriver: chrome on WINDOWS (9b64a175188719d3da3de32c4325c53d)] -> xpath: //span[@data-qa='watchlist-entity__symbol-cell']], [[ChromeDriver: chrome on WINDOWS (9b64a175188719d3da3de32c4325c53d)] -> xpath: //span[@data-qa='watchlist-entity__symbol-cell']], [[ChromeDriver: chrome on WINDOWS (9b64a175188719d3da3de32c4325c53d)] -> xpath: //span[@data-qa='watchlist-entity__symbol-cell']]]
